Parameter,Estimate
Intercept,0.325494379
PE_LENGTH_OF_STAY,0.000623927
DEM_GENDER_MALE,-0.153573518
DEM_VET,-0.239646166
HH_NOT_ONLY_ADULT,0.836543345
BEN_MULTIPLE_ENTRY,-0.095112245
INC_SSI_EXIT,-0.180068886
BEN_MULTIPLE_EXIT,0.425814612
