Parameter,Estimate
Intercept,1.8699
DEM_VET,-0.9569
SN_DEVELDIS_ENTRY,-1.0906
INC_SSI_ENTRY,-0.5715
INC_VETDISPMT_ENTRY,-0.679
INC_CHILDSUPPORT_ENTRY,-0.7044
INC_ALIMONY_ENTRY,-2.731
BEN_OTHER_ENTRY,-1.0419
INC_EARNEDINCOME_INCREASE,1.0985
INC_ONE_EXIT,0.5827
INC_MULTIPLE_EXIT,1.4519
BEN_RENTASSIST_EXIT,3.0762
